Мандант;Роль;ИмяПользоват;Начальная дата;Конечная дата;Исключая;Дата;Время;Метка UTC-времени в краткой форме (ГГГГМ;Присвоение из орг. менеджмента HR;Присвоение из групповой роли
400;ZGBI014_2D00_FIREP;XDOKNS03;25.12.2017;31.12.9999;;27.12.2017;18:48:35;0;;
400;ZGBI014_2D00_FIREP;XDOKNV16;25.12.2017;31.12.9999;;25.12.2017;12:32:07;0;;
400;ZGBI014_2D00_FIREP;XDOKOA16;25.12.2017;31.12.9999;;25.12.2017;12:32:11;0;;
400;ZGBI014_2D00_FIREP;XDOKOV22;25.12.2017;31.12.9999;;25.12.2017;12:32:13;0;;
400;ZGBI014_2D00_FIREP;XDOKSV18;29.05.2018;31.12.9999;;29.05.2018;14:33:53;0;;
400;ZGBI014_2D00_FIREP;XDOKSV21;25.12.2017;31.12.9999;;25.12.2017;12:32:25;0;;
400;ZGBI014_2D00_FIREP;XDOKVI11;25.12.2017;31.12.9999;;25.12.2017;12:32:36;0;;
400;ZGBI014_2D00_FIREP;XDOKVV36;25.12.2017;31.12.9999;;11.04.2018;13:58:00;0;;
400;ZGBI014_2D00_FIREP;XDOLIV02;25.12.2017;31.12.9999;;25.12.2017;12:33:05;0;;
400;ZGBI014_2D00_FIREP;XDOMDV07;25.12.2017;31.12.9999;;25.12.2017;12:33:23;0;;
400;ZGBI014_2D00_FIREP;XDOMEV16;29.05.2018;31.12.9999;;29.05.2018;14:33:57;0;;
400;ZGBI014_2D00_FIREP;XDOMEY03;25.12.2017;31.12.9999;;25.12.2017;12:33:26;0;;
400;ZGBI014_2D00_FIREP;XDOMIF;25.12.2017;31.12.9999;;27.12.2017;18:48:41;0;;
400;ZGBI014_2D00_FIREP;XDOMIG;25.12.2017;31.12.9999;;27.12.2017;18:48:44;0;;
400;ZGBI014_2D00_FIREP;XDOMIV04;25.12.2017;31.12.9999;;25.12.2017;12:33:28;0;;
400;ZGBI014_2D00_FIREP;XDOMMD;25.12.2017;31.12.9999;;25.12.2017;12:33:30;0;;
400;ZGBI014_2D00_FIREP;XDOMNG02;25.12.2017;31.12.9999;;25.12.2017;12:33:31;0;;
400;ZGBI014_2D00_FIREP;XDOMNM02;25.12.2017;31.12.9999;;25.12.2017;12:33:31;0;;
400;ZGBI014_2D00_FIREP;XDOMNV10;25.12.2017;31.12.9999;;25.12.2017;12:33:33;0;;
400;ZGBI014_2D00_FIREP;XDOMOV09;25.12.2017;31.12.9999;;27.12.2017;18:48:46;0;;
400;ZGBI014_2D00_FIREP;XDOMRV01;25.12.2017;31.12.9999;;27.12.2017;18:48:47;0;;
400;ZGBI014_2D00_FIREP;XDOMTA04;25.12.2017;31.12.9999;;25.12.2017;12:33:40;0;;
400;ZGBI014_2D00_FIREP;XDOMYV10;15.02.2018;31.12.9999;;15.02.2018;11:38:15;0;;
400;ZGBI014_2D00_FIREP;XDONIV05;29.05.2018;31.12.9999;;29.05.2018;14:33:59;0;;
400;ZGBI014_2D00_FIREP;XDONKA;25.12.2017;31.12.9999;;25.12.2017;12:33:47;0;;
400;ZGBI014_2D00_FIREP;XDONNA06;25.12.2017;31.12.9999;;27.12.2017;18:48:49;0;;
400;ZGBI014_2D00_FIREP;XDOONY;25.12.2017;31.12.9999;;25.12.2017;12:33:54;0;;
400;ZGBI014_2D00_FIREP;XDOOOM;25.12.2017;31.12.9999;;25.12.2017;12:33:55;0;;
400;ZGBI014_2D00_FIREP;XDOOSA01;25.12.2017;31.12.9999;;25.12.2017;12:33:57;0;;
400;ZGBI014_2D00_FIREP;XDOPDV07;25.12.2017;31.12.9999;;27.12.2017;18:48:50;0;;
400;ZGBI014_2D00_FIREP;XDOPEA15;25.12.2017;31.12.9999;;25.12.2017;12:34:05;0;;
400;ZGBI014_2D00_FIREP;XDOPIP;25.12.2017;31.12.9999;;27.12.2017;18:48:51;0;;
400;ZGBI014_2D00_FIREP;XDOPNY;25.12.2017;31.12.9999;;25.12.2017;12:34:12;0;;
400;ZGBI014_2D00_FIREP;XDOPON04;15.02.2018;31.12.9999;;15.02.2018;11:38:18;0;;
400;ZGBI014_2D00_FIREP;XDOPSV06;25.12.2017;31.12.9999;;27.12.2017;18:48:53;0;;
400;ZGBI014_2D00_FIREP;XDOPYD;20.02.2018;31.12.9999;;20.02.2018;14:57:58;0;;
400;ZGBI014_2D00_FIREP;XDOREF;25.12.2017;31.12.9999;;25.12.2017;12:34:23;0;;
400;ZGBI014_2D00_FIREP;XDOREV05;25.12.2017;31.12.9999;;25.12.2017;12:34:23;0;;
400;ZGBI014_2D00_FIREP;XDORIA01;29.05.2018;31.12.9999;;29.05.2018;14:34:02;0;;
400;ZGBI014_2D00_FIREP;XDORSG;25.12.2017;31.12.9999;;25.12.2017;12:34:27;0;;
400;ZGBI014_2D00_FIREP;XDORYL;25.12.2017;31.12.9999;;25.12.2017;12:34:32;0;;
400;ZGBI014_2D00_FIREP;XDOSAA47;25.12.2017;31.12.9999;;27.12.2017;18:48:56;0;;
400;ZGBI014_2D00_FIREP;XDOSAA62;25.12.2017;31.12.9999;;25.12.2017;12:34:36;0;;
400;ZGBI014_2D00_FIREP;XDOSAM06;25.12.2017;31.12.9999;;25.12.2017;12:34:39;0;;
