ÌÑ;ÊëÎöí;ÎñíîâÑ÷åò;ÎñíîâÑ÷åò
REM;1180;3117010100;3117010100
REM;1190;3118010100;3118010100
REM;1210;3120010100;3120010100
REM;1220;3111020100;3111020100
REM;3500;3501050000;3501050000
REM;3501;3501010000;3501010000
REM;3502;3501020000;3501020000
REM;3503;3501040000;3501040000
REM;3606;3501060000;3501060000
REM;3610;3107040100;3107040100
S10;4111;3102010100;3102010100
S10;4112;3102010200;3102010200
S10;4113;3102010300;3102010300
S10;4131;3103010000;3103010000
S10;4132;3103020000;3103020000
S10;4133;3103030000;3103030000
S10;4134;3103040000;3103040000
VAX;0700;9120021000;9120021000
VAX;1011;9120030000;9120030000
VAX;1012;9120030000;9120030000
VAX;1013;9120030000;9120030000
VAX;1014;9120030000;9120030000
VAX;1015;9120030000;9120030000
VAX;1040;9120030000;9120030000
VAX;1050;9120030000;9120030000
VAX;1061;9120030000;9120030000
VAX;1062;9120030000;9120030000
VAX;1063;9120030000;9120030000
VAX;1064;9120030000;9120030000
VAX;1070;9120030000;9120030000
VAX;1080;9120030000;9120030000
VAX;1090;9120030000;9120030000
VAX;1100;9120030000;9120030000
VAX;1110;9120030000;9120030000
VAX;1120;9120030000;9120030000
VAX;1130;9120030000;9120030000
VAX;1140;9120030000;9120030000
VAX;1150;9120030000;9120030000
VAX;1161;9120030000;9120030000
VAX;1163;9120030000;9120030000
VAX;1170;9120030000;9120030000
VAX;1180;9120030000;9120030000
VAX;1190;9120030000;9120030000
VAX;1200;9120030000;9120030000
VAX;1210;9120030000;9120030000
VAX;1220;9120030000;9120030000
VAX;4104;9120030000;9120030000
VAY;0700;9120021000;9120021000
VAY;1011;9120030000;9120030000
VAY;1012;9120030000;9120030000
VAY;1013;9120030000;9120030000
VAY;1014;9120030000;9120030000
VAY;1015;9120030000;9120030000
VAY;1040;9120030000;9120030000
VAY;1050;9120030000;9120030000
VAY;1061;9120030000;9120030000
VAY;1062;9120030000;9120030000
VAY;1063;9120030000;9120030000
VAY;1064;9120030000;9120030000
VAY;1070;9120030000;9120030000
VAY;1080;9120030000;9120030000
VAY;1090;9120030000;9120030000
VAY;1100;9120030000;9120030000
VAY;1110;9120030000;9120030000
VAY;1120;9120030000;9120030000
VAY;1130;9120030000;9120030000
VAY;1140;9120030000;9120030000
VAY;1150;9120030000;9120030000
VAY;1161;9120030000;9120030000
VAY;1163;9120030000;9120030000
VAY;1170;9120030000;9120030000
VAY;1180;9120030000;9120030000
VAY;1190;9120030000;9120030000
VAY;1200;9120030000;9120030000
VAY;1210;9120030000;9120030000
VAY;1220;9120030000;9120030000
VAY;4104;9120030000;9120030000
VBR;0700;3530040000;3530040000
VBR;0801;3530140000;3530140000
VBR;0802;3530140000;3530140000
VBR;0804;3530020000;3530020000
VBR;0805;3530130000;3530130000
VBR;0806;3530050000;3530050000
VBR;0807;3530150000;3530150000
VBR;1011;3101010000;3101010000
VBR;1012;3101020000;3101020000
VBR;1013;3101030000;3101030000
VBR;1014;3101040000;3101040000
VBR;1015;3101050000;3101050000
VBR;1040;3106010000;3106010000
VBR;1050;3106020000;3106020000
VBR;1061;3107010000;3107010000
VBR;1062;3107020000;3107020000
VBR;1063;3107030000;3107030000
VBR;1064;3107040000;3107040000
VBR;1070;3108010000;3108010000
VBR;1080;3108020000;3108020000
VBR;1090;3108030000;3108030000
VBR;1100;3109010000;3109010000
VBR;1110;3110010000;3110010000
VBR;1120;3111010000;3111010000
VBR;1130;3112010000;3112010000
VBR;1140;3113010000;3113010000
VBR;1150;3114010000;3114010000
VBR;1161;3115010000;3115010000
VBR;1163;3115020000;3115020000
VBR;1170;3116010000;3116010000
VBR;1180;3117010000;3117010000
VBR;1190;3118010000;3118010000
VBR;1200;3119010000;3119010000
VBR;1210;3120010000;3120010000
VBR;1220;3111020000;3111020000
VBR;1590;1590000000;1590000000
VBR;3101;3101010000;3101010000
VBR;3105;3105010000;3105010000
VBR;3501;3501010000;3501010000
VBR;3502;3502040000;3502040000
VBR;3504;3512010000;3512010000
VBR;3505;3512020000;3512020000
VBR;3506;3512030000;3512030000
VBR;3507;3502010000;3502010000
VBR;3508;3502020000;3502020000
VBR;3509;3506010000;3506010000
VBR;3510;3506020000;3506020000
VBR;3511;3506030000;3506030000
VBR;3512;3506040000;3506040000
VBR;3513;3506500000;3506500000
VBR;3514;3504000000;3504000000
VBR;3515;3505010000;3505010000
VBR;3516;3505020000;3505020000
VBR;3517;3503010000;3503010000
VBR;3518;3503020000;3503020000
VBR;3519;3503030000;3503030000
VBR;3520;3503040000;3503040000
VBR;3521;3503050000;3503050000
VBR;3522;3503060000;3503060000
VBR;3523;3503500000;3503500000
VBR;3524;3503070000;3503070000
VBR;3525;3503080000;3503080000
VBR;3526;3510030000;3510030000
VBR;3527;3510010000;3510010000
VBR;3528;3510020000;3510020000
VBR;3529;3510040000;3510040000
VBR;3530;3511010000;3511010000
VBR;3531;3511020000;3511020000
VBR;3532;3511030000;3511030000
VBR;3533;3511040000;3511040000
VBR;3534;3513010000;3513010000
VBR;3535;3513020000;3513020000
VBR;3536;3513030000;3513030000
VBR;3537;3514030000;3514030000
VBR;3538;3514040000;3514040000
VBR;3539;3514020000;3514020000
VBR;3540;3514010000;3514010000
VBR;3541;3528050000;3528050000
VBR;3542;3528070000;3528070000
VBR;3543;3522010000;3522010000
VBR;3544;3519050000;3519050000
VBR;3545;3515010000;3515010000
VBR;3546;3515020000;3515020000
VBR;3547;3515030000;3515030000
VBR;3548;3515040000;3515040000
VBR;3549;3515050000;3515050000
VBR;3550;3516010000;3516010000
VBR;3551;3516020000;3516020000
VBR;3552;3516030000;3516030000
VBR;3553;3517020000;3517020000
VBR;3554;3517030000;3517030000
VBR;3555;3517040000;3517040000
VBR;3556;3517050000;3517050000
VBR;3557;3517060000;3517060000
VBR;3558;3518000000;3518000000
VBR;3559;3507010000;3507010000
VBR;3560;3507020000;3507020000
VBR;3561;3507030000;3507030000
VBR;3562;3502050000;3502050000
VBR;3563;3507040000;3507040000
VBR;3564;3508000000;3508000000
VBR;3565;3522000000;3522000000
VBR;3566;3510050000;3510050000
VBR;3567;3519030000;3519030000
VBR;3568;3509010000;3509010000
VBR;3569;3509020000;3509020000
VBR;3570;3509030000;3509030000
VBR;3571;3509040000;3509040000
VBR;3572;3509050000;3509050000
VBR;3573;3509060000;3509060000
VBR;3574;3509070000;3509070000
VBR;3575;3509080000;3509080000
VBR;3576;3523000000;3523000000
VBR;3577;3524000000;3524000000
VBR;3578;3509090000;3509090000
VBR;3579;3530010000;3530010000
VBR;3580;3530030000;3530030000
VBR;3581;3530060000;3530060000
VBR;3582;3530070000;3530070000
VBR;3583;3530080000;3530080000
VBR;3584;3530090000;3530090000
VBR;3585;3509100000;3509100000
VBR;3586;3519010000;3519010000
VBR;3587;3519020000;3519020000
VBR;3588;3530110000;3530110000
VBR;3589;3530500000;3530500000
VBR;3590;3505030000;3505030000
VBR;3591;3528010000;3528010000
