Роль;Название роли
ZGPM021_MPLORD;Ответств. за ведение и соглас. заказов ТОРО и плановых сообщений
ZGPM022_MWBSEL;Ответственный за ведение рем. СПП
ZGPM031_MMESUR;Ответственный за ведение дефектов
ZGPM041_MORCLS;Ответственный за технич. закрытие заказов
ZGPM042_MDSTRL;Ответственный за коммерч. закр. заказов
ZGPM051_DREPRT;Ответственный за просм. спец. отчетов
ZGSD02X_ACCOUNTER_CR;Бухгалтер по учету реализации э/э, мощности и услуг по договорам ОРЭМ_Ведение
ZGSD02X_ACCOUNTER_VW;Бухгалтер по учету реализации э/э, мощности и услуг по договорам ОРЭМ_Просмотр
ZGSD02X_EMAIL_CR;Специалист по ведению электронных почтовых адресов
ZGSD02X_EMAIL_CR;Групповая роль_Специалист по ведению электронных почтовых адресов
ZGSD02X_MANAGER_CR;Менеджер по учету реализации э/э, мощности и услуг по договорам ОРЭМ_Ведение
ZGSD02X_MANAGER_VW;Менеджер по учету реализации э/э, мощности и услуг по договорам ОРЭМ_Просмотр
ZGSD03X_ACCOUNTER_CR;Бухгалтер по розничной реализации_Ведение
ZGSD03X_ACCOUNTER_VW;Бухгалтер по розничной реализации_Просмотр
ZGSD03X_MANAGER_CR;Менеджер по розничной реализации_Ведение
ZGSD03X_MANAGER_VW;Менеджер по розничной реализации_Просмотр
ZGSD03X_STOREKEEPER_CR;Кладовщик_Ведение
ZGSD03X_STOREKEEPER_VW;Кладовщик_Просмотр
