Код транзакции;Текст;Направление
S_ALR_87012004;Амортизационные отчисления;БНУ
S_ALR_87012006;Амортизационные отчисления;БНУ
S_ALR_87012050;Поступления основных средств;БНУ
S_ALR_87012082;Сальдо кредиторов во внутр. валюте;БНУ
S_ALR_87012086;Перечень кредиторов;БНУ
S_ALR_87012172;Сальдо дебиторов во ВнутрВалюте;БНУ
S_ALR_87012179;Перечень дебиторов;БНУ
S_ALR_87012197;Список отдельных позиций дебиторов;БНУ
S_ALR_87012289;Компактный журнал документов;БНУ
S_ALR_87012301;Сальдо основных счетов;БНУ
S_ALR_87012943;План заявок/бюджет мероприятий;УИ
S_ALR_87012945;Общий/Годовой план из заявки;УИ
S_ALR_87012949;План заявок/мероприятий;УИ
S_ALR_87012993;Заказ: факт/план/отклонение;УУ
S_ALR_87013006;Заказ: сравнение по периодам - план;УУ
S_ALR_87013532;План/факт/отклонение;УУ
S_ALR_87013534;План1/План2/Факт/Облиго;УУ
S_ALR_87013542;Факт/облиго/итог/план в ВлтКЕ;УУ
S_ALR_87013543;Факт/план/отклонение абс./откл. в %;УУ
S_ALR_87013545;Сравнение по периодам/Факт;УУ
S_ALR_87013557;Бюджет/факт/отклонение;УИ
S_ALR_87013611;МВЗ: факт/план/отклонение;УУ
S_BCE_68001393;Пользователи по адресным данным;Базис
S_BCE_68001395;Пользователи по КомплексКритерВыбора;Базис
S_BCE_68001396;Пользователи по КомплексКритерВыбора;Базис
S_BCE_68001405;Профили по имени полномочий;Базис
S_BCE_68001408;Профили по ролям;Базис
S_BCE_68001409;Профили по КомплекснКритериям выбора;Базис
S_BCE_68001414;Полномочия по КомплекснКритВыбора;Базис
S_BCE_68001417;Полномочия по КомплекснКритВыбора;Базис
S_BCE_68001418;Роли по имени роли;Базис
S_BCE_68001419;Роли по присвоению пользователя;Базис
S_BCE_68001420;Роли по присвоению транзакций;Базис
S_BCE_68001424;Роли по датам изменения;Базис
S_BCE_68001425;Роли по комплексным критериям;Базис
S_BCE_68001426;Транзакции для пользоват. с проф.;Базис
S_BCE_68001429;Транзакции для пользоват. с проф.;Базис
S_BCE_68002041;Выполнимые для роли;Базис
S_BCE_68002111;RSUSR008_009_NEW;Базис
S_EBS_44000565;Журнал счетов (Россия);БНУ
S00;Краткое сообщение;NONE
SA38;ABAP-отчеты;NONE
SA39;SA38 для транзакции параметров;NONE
SBWP;SAP Business Workplace;NONE
SCASE;Управление случаями;NONE
SE11;ABAP-словарь: ведение;NONE
SE36;Построитель логической базы данных;NONE
SE91;Ведение сообщений;NONE
SEARCH_SAP_MENU;Поиск в SAP-меню;NONE
SEARCH_USER_MENU;Поиск в пользовательском меню;NONE
SESSION_MANAGER;Диспетчер сеансов: ПросмДереваМеню;NONE
SM30;Вызов ведения ракурсов;Базис
SM37;Обзор выборки заданий;Базис
SM37C;Гибкая версия выбора заданий;Базис
SM38;Транзакция управления queue;Базис
SM59;RFC-адреса (просмотр и ведение);Базис
SMEN;Диспетчер сеансов: ПросмДереваМеню;Базис
SMX;Просмотр собственных заданий;Базис
SO00;SAPoffice: краткое сообщение;NONE
SO01;SAPoffice Входящая почта;NONE
SO02;SAPoffice Исходящая почта;NONE
SO03;SAPoffice Личные папки;NONE
SO10;Стандартные тексты SAPscript;NONE
SO23;SAPoffice: списки адресатов;NONE
SP01;Управление выводом;NONE
SP02;Просмотр запросов в спул;NONE
SPRO;Настройка - обработка проектов;NONE
SQ01;SAP Query: ведение queries;NONE
SSC1;Календарь сроков SAP (собств.);NONE
START_REPORT;Запуск отчета;NONE
SU01;Ведение пользователей;Базис
SU01D;Просмотр пользователей;Базис
SU3;Ведение собственных данных пользов.;Базис
SU51;Ведение собств. адреса пользователя;Базис
SU52;Ведение собств. параметров пользов.;Базис
SU53;Анализ проверки полномочий;Базис
SU56;Анализ буфера пользователя;Базис
SUIM;Польз. информационная система;Базис
SWDP;Просмотр графического журнала ПО;Базис
SWO_ASYNC;Асинхронный вызов методов в РБО;Базис
SWUI;Запуск потока операций;Базис
TBB1;Выполнение проводок;УФ
TJ10;Краткий журнал финансовых сделок;УФ
TM_51;Создание процентной сделки;УФ
TM_52;Изменение процентной сделки;УФ
TM_53;Просмотр процентной сделки;УФ
TM_54;Расчет процентной сделки;УФ
TM_55;Сторно процентной сделки;УФ
TM_61;Создание кредитной услуги;УФ
TM_62;Изменение кредитной услуги;УФ
TM_63;Просмотр кредитной услуги;УФ
TM_64;Расчет кредитной услуги;УФ
TPM1;Выполнить оценку;УФ
