ПФМ;Название;4;5
D21710;СбытТЭ(ТЭЦ 17);;
D21711;СбытЭЭ(ТЭЦ 17);;
D21712;КорпЗащит(ТЭЦ 17);;
D21713;ОплТруда(ТЭЦ 17);;
D21714;ПодгКадр(ТЭЦ 17);;
D21715;Соц-труд(ТЭЦ 17);;
D21716;Ресурсооб(ТЭЦ 17);;
D21717;СкладЛог(ТЭЦ 17);;
D21718;Транспорт(ТЭЦ 17);;
D21719;Эконом. (ТЭЦ 17);;
D21720;УпрИмущ(ТЭЦ 17);;
D21721;Финансы(ТЭЦ 17);;
D21722;Бухгалт.(ТЭЦ 17);;
D21723;Развитие(ТЭЦ 17);;
D21724;КапСтрой(ТЭЦ 17);;
D21725;Тех(ТЭЦ 17 );;
D220;Каскад Ладожских ГЭС;;
D22001;Апп. ГД(Ладожск.ГЭС);;
D22002;ПравВопр(Ладожск.ГЭС;;
D22003;СвязОбщ.(Ладожск.ГЭС;;
D22004;АдмСерв(Ладожск.ГЭС);;
D22005;ГО и ЧС(Ладожск.ГЭС);;
D22006;Ремонт.(Ладожск.ГЭС);;
D22007;Эксплуат.(Ладожск.ГЭ;;
D22008;Произв.(Ладожск.ГЭС);;
D22009;Метролог(Ладожск.ГЭС;;
D22010;СбытТЭ(Ладожск.ГЭС);;
D22011;СбытЭЭ(Ладожск.ГЭС);;
D22012;КорпЗащит(Ладожск.ГЭ;;
D22013;ОплТруда(Ладожск.ГЭС;;
D22014;ПодгКадр(Ладожск.ГЭС;;
D22015;Соц-труд(Ладожск.ГЭС;;
D22016;Ресурсооб(Ладожск.ГЭ;;
D22017;СкладЛог(Ладожск.ГЭС;;
D22018;Транспорт(Ладожск.ГЭ;;
D22019;Эконом. (Ладожск.ГЭС;;
D22020;УпрИмущ(Ладожск.ГЭС);;
D22021;Финансы(Ладожск.ГЭС);;
D22022;Бухгалт.(Ладожск.ГЭС;;
D22023;Развитие(Ладожск.ГЭС;;
D22024;КапСтрой(Ладожск.ГЭС;;
D22025;Тех(Ладожск.ГЭС);;
D221;ТЭЦ 21 Северная;;
D22101;Апп. ГД(ТЭЦ 21);;
D22102;ПравВопр(ТЭЦ 21);;
D22103;СвязОбщ.(ТЭЦ 21);;
D22104;АдмСерв(ТЭЦ 21);;
D22105;ГО и ЧС(ТЭЦ 21);;
D22106;Ремонт.(ТЭЦ 21);;
D22107;Эксплуат.(ТЭЦ 21);;
D22108;Произв.(ТЭЦ 21);;
D22109;Метролог(ТЭЦ 21);;
D22110;СбытТЭ(ТЭЦ 21);;
D22111;СбытЭЭ(ТЭЦ 21);;
D22112;КорпЗащит(ТЭЦ 21);;
D22113;ОплТруда(ТЭЦ 21);;
D22114;ПодгКадр(ТЭЦ 21);;
D22115;Соц-труд(ТЭЦ 21);;
