МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D206020501;ГЭС06Вол-ОГ-06 СМ;ОГ№6  СМ ГЭС-6 Волховская;D220
D206020601;ГЭС06Вол-ОГ-07 СМ;ОГ№7 СМ ГЭС-6 Волховская;D220
D206020701;ГЭС06Вол-ОГ-08 СМ;ОГ№8 СМ ГЭС-6 Волховская;D220
D206020801;ГЭС06Вол-ОГ-09 СМ РГ;ОГ№9  СМ Резервное генерир оборуд  ГЭС-6 Волховская;D220
D206201101;ГЭС06Вол-ГЭС СМ;ГЭС-6 Волховская ;D220
D206201111;ГЭС06Вол-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС-6 Волховская ;D220
D206212100;ГЭС06Вол-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D220
D206540000;ГЭС06Вол-ОПР;Общепроизводственные расходы ГЭС-6 ;D220
D206650100;ГЭС06Вол-УпрГЭС;Управление ГЭС-6 ;D220
D209020001;ГЭС09Ниж-ОГ-01 СМ;ОГ№1 ГЭС-9 Нижнесвирская;D220
D209020101;ГЭС09Ниж-ОГ-02 СМ;ОГ№2 СМ  ГЭС-9 Нижнесвирская;D220
D209020201;ГЭС09Ниж-ОГ-03 СМ;ОГ№3 СМ ГЭС-9 Нижнесвирская;D220
D209020301;ГЭС09Ниж-ОГ-04 СМ;ОГ№4 ГЭС-9 Нижнесвирская;D220
D209021401;ГЭС09Ниж-ОГ-БР СМ;Бойлер СМ Электрокотельная ГЭС-9 Нижнесвирская;D220
D209201101;ГЭС09Ниж-ГЭС СМ;ГЭС-9 СМ Нижнесвирская;D220
D209201111;ГЭС09Ниж-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС-9 СМ Нижнесвирская ;D220
D209212100;ГЭС09Ниж-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D220
D209212200;ГЭС09Ниж-Подк сис ТС;Подключение к системе теплоснабжение;D220
D209540000;ГЭС09Ниж-ОПР;Общепроизводственные расходы ГЭС-9;D220
D209650100;ГЭС09Ниж-УпрГЭС;Управление ГЭС-9;D220
D212020001;ГЭС12Вер-ОГ-01 СМ;ОГ№1 СМ ГЭС-12 Верхнесвирская;D220
D212020101;ГЭС12Вер-ОГ-02 СМ;ОГ№2 СМ ГЭС-12 Верхнесвирская;D220
D212020201;ГЭС12Вер-ОГ-03 СМ;ОГ№3 СМ ГЭС-12 Верхнесвирская;D220
D212020301;ГЭС12Вер-ОГ-04 СМ;ОГ№4 СМ ГЭС-12 Верхнесвирская;D220
