МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D412020001;ГЭС12ВТу-ОГ-01 СМ;ОГ№1 СМ ГЭС -12 Верхне - Туломская  (Туломские и Серебрянские ГЭС) ;D440
D412020101;ГЭС12ВТу-ОГ-02 СМ;ОГ№2 СМ ГЭС -12 Верхне - Туломская  (Туломские и Серебрянские ГЭС) ;D440
D412020201;ГЭС12ВТу-ОГ-03 СМ;ОГ№3 СМ  ГЭС -12 Верхне - Туломская  (Туломские и Серебрянские ГЭС) ;D440
D412020301;ГЭС12ВТу-ОГ-04 СМ;ОГ№4 СМ ГЭС -12 Верхне - Туломская  (Туломские и Серебрянские ГЭС) ;D440
D412201101;ГЭС12ВТу-ГЭС СМ;ГЭС -12 СМ Верхне - Туломская   (Туломские и Серебрянские ГЭС) ;D440
D412201111;ГЭС12ВТу-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -12 СМ Верхне - Туломская (Туломские и Серебрянские ГЭС) ;D440
D412212100;ГЭС12ВТу-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D440
D412540000;ГЭС12ВТу-ОПР;Общепроизводственные Верхне-Туломской ГЭС (Туломские и Серебрянские ГЭС) ;D440
D413020001;ГЭС13НТу-ОГ-01 СМ;ОГ№1 СМ ГЭС -13 Нижне - Туломская (Туломские и Серебрянские ГЭС) ;D440
D413020101;ГЭС13НТу-ОГ-02 СМ;ОГ№2 СМ ГЭС -13 Нижне - Туломская (Туломские и Серебрянские ГЭС) ;D440
D413020201;ГЭС13НТу-ОГ-03 СМ;ОГ№3  СМ ГЭС -13 Нижне - Туломская (Туломские и Серебрянские ГЭС) ;D440
D413020301;ГЭС13НТу-ОГ-04 СМ;ОГ№4 СМ ГЭС -13 Нижне - Туломская (Туломские и Серебрянские ГЭС) ;D440
D413201101;ГЭС13НТу-ГЭС СМ;ГЭС -13 СМ Нижне - Туломская (Туломские и Серебрянские ГЭС) ;D440
D413201111;ГЭС13НТу-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -13 СМ Нижне - Туломская (Туломские и Серебрянские ГЭС) ;D440
D413212100;ГЭС13НТу-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D440
D413540000;ГЭС13НТу-ОПР;Общепроизводственные Нижне-Туломской ГЭС (Туломские и Серебрянские ГЭС) ;D440
D415020001;ГЭС15Сер-ОГ-01 СМ;ОГ№1  CM ГЭС -15 (Туломские и Серебрянские (ГЭС-1)) ;D440
D415020101;ГЭС15Сер-ОГ-02 СМ;ОГ№2  CM ГЭС -15 (Туломские и Серебрянские (ГЭС-1)) ;D440
D415020201;ГЭС15Сер-ОГ-03 СМ;ОГ№3   CM ГЭС -15 (Туломские и Серебрянские (ГЭС-1))  ;D440
D415201101;ГЭС15Сер-ГЭС СМ;ГЭС -15 СМ (Туломские и Серебрянские (ГЭС-1)) ;D440
D415201111;ГЭС15Сер-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -15 СМ (Туломские и Серебрянские (ГЭС-1)) ;D440
D415212100;ГЭС15Сер-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D440
D416020001;ГЭС16Сер-ОГ-01 СМ;ОГ№1  CM ГЭС -16 (Туломские и Серебрянские (ГЭС-2))  ;D440
D416020101;ГЭС16Сер-ОГ-02 СМ;ОГ№2  CM ГЭС -16 (Туломские и Серебрянские (ГЭС-2)) ;D440
D416020201;ГЭС16Сер-ОГ-03 СМ;ОГ№3   CM ГЭС -16 (Туломские и Серебрянские (ГЭС-2)) ;D440
D416201101;ГЭС16Сер-ГЭС СМ;ГЭС -16 СМ (Туломские и Серебрянские (ГЭС-2)) ;D440
D416201111;ГЭС16Сер-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -16 СМ (Туломские и Серебрянские (ГЭС-2)) ;D440
D416212100;ГЭС16Сер-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D440
D418020001;ГЭС18ВТе-ОГ-01 СМ;ОГ№1 СМ  ГЭС -18 Верхне - Териберская (Туломские и Серебрянские) ;D440
D418201101;ГЭС18ВТе-ГЭС СМ;ГЭС -18 СМ Верхне - Териберская (Туломские и Серебрянские) ;D440
D418201111;ГЭС18ВТе-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -18 СМ Верхне - Териберская (Туломские и Серебрянские)  ;D440
D418212100;ГЭС18ВТе-ТехПрис.ЭС;Тех.присоединения к эл. Сетям ГЭС -18 СМ Верхне - Териберская (Туломские и Серебрянские);D440
D419020001;ГЭС19НТе-ОГ-02 СМ;ОГ№2 СМ ГЭС -19 Нижне - Териберская (Туломские и Серебрянские) ;D440
D419201101;ГЭС19НТе-ГЭС СМ;ГЭС -19 СМ Нижне - Териберская (Туломские и Серебрянские) ;D440
D419201111;ГЭС19НТе-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -19 СМ Нижне - Териберская (Туломские и Серебрянские) ;D440
D419212100;ГЭС19НТе-ТехПрис.ЭС;Тех.присоединения к эл. Сетям ГЭС -19 Нижне - Териберская (Туломские и Серебрянские) ;D440
D440212401;КдСерТул-СМ;Эксплутационные расходы Каскада Туломских ГЭС и Серебрянских ГЭС;D440
D440330010;КдСерТул-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок  Каскада Туломских ГЭС и Серебрянских ГЭС;D440
D440540000;КдСерТул-ОПР;Общепроизводственные Каскада Туломских ГЭС и Серебрянских ГЭС;D440
D440650000;КдСерТул-УпрКаскадом;Управление Каскада Туломских ГЭС и Серебрянских ГЭС;D440
D440870100;КТСГЭС-ОКС;Группа КС КТСГЭС;D440
D440871100;КТСГЭС-ОКС2;Группа КС КТСГЭС2 для отнесения затрат на отдельный приоритетный проект на Верхне-Туломской ГЭС;D440
D461020001;ТЭЦАпати-ОГ-01 СМ;ОГ№1 СМ Апатитская ТЭЦ;D461
D461020101;ТЭЦАпати-ОГ-02 СМ;ОГ№2 СМ Апатитская ТЭЦ;D461
D461020201;ТЭЦАпати-ОГ-03 СМ;ОГ№3 СМ Апатитская ТЭЦ;D461
D461020301;ТЭЦАпати-ОГ-04 СМ;ОГ№4  СМ Апатитская ТЭЦ;D461
D461020401;ТЭЦАпати-ОГ-05 СМ;ОГ№5  СМ Апатитская ТЭЦ  ;D461
D461020501;ТЭЦАпати-ОГ-06 СМ;ОГ№6   СМ Апатитская ТЭЦ;D461
D461020601;ТЭЦАпати-ОГ-07 СМ;ОГ№7   СМ Апатитская ТЭЦ;D461
D461020701;ТЭЦАпати-ОГ-08 СМ;ОГ№8   СМ Апатитская ТЭЦ;D461
D461200101;ТЭЦАпати-КТЦ СМ;КТЦ СМ Апатитская ТЭЦ;D461
D461200111;ТЭЦАпати-КТЦ СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ СМ Апатитская ТЭЦ;D461
D461210001;ТЭЦАпати-ЭЦ СМ;Электроцех  СМ Апатитская ТЭЦ;D461
D461210011;ТЭЦАпати-ЭЦ СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех  СМ Апатитская ТЭЦ;D461
D461210301;ТЭЦАпати-ХПВ СМ; Хим.подготовленная вода  Апатитская ТЭЦ  ;D461
D461210311;ТЭЦАпати-ХПВ СМ Хоз; Затраты на ремонт хозяйственным способом Хим.подготовленная вода  Апатитская ТЭЦ;D461
D461210401;ТЭЦАпати-ВСН СМ;Вода на СН Апатитская ТЭЦ;D461
D461210501;ТЭЦАпати-ТепВпар СМ;Теплоноситель в паре Апатитская ТЭЦ;D461
D461210601;ТЭЦАпати-ТепВвод СМ;Теплоноситель в воде Апатитская ТЭЦ;D461
D461211201;ТЭЦАпати-ЦТАИ СМ;Цех ТАИ  СМ Апатитская ТЭЦ;D461
D461211211;ТЭЦАпати-ЦТАИ СМ Хоз;Затраты на ремонт хозяйственным способом Цех ТАИ  СМ Апатитская ТЭЦ;D461
D461211400;ТЭЦАпати-Перед Т/Э;Передача Т/Э Апатитская ТЭЦ;D461
D461211410;ТЭЦАпати-ПерТ/Э Хоз;;D461
D461211700;ТЭЦАпати-Сбыт Т/Э;Отдел сбыта (тепловая энергия) Апатитская ТЭЦ;D461
D461211800;ТЭЦАпати-Резерв ТМ;Резервирование тепловой мощности Апатитская ТЭЦ;D461
D461211901;ТЭЦАпати-ТТЦ СМ;Топливно-транспортный цех  СМ Апатитская ТЭЦ;D461
D461211911;ТЭЦАпати-ТТЦ СМ Хоз;Затраты на ремонт хозяйственным способом Топливно-транспортный цех СМ Апатитская ТЭЦ ;D461
D461212100;ТЭЦАпати-ТехПрис.ЭС;Тех.присоединения к эл. Сетям Апатитская ТЭЦ;D461
D461212200;ТЭЦАпати-Подк сис ТС;Подключение к системе теплоснабжения Апатитская ТЭЦ;D461
D461212300;ТЭЦАпати-АРС эксплтц;Аварийно-ремонтная служба (АРС) эксплуатация;D461
D461330000;ТЭЦАпати-АТЦ;Автотранспортный участок  Апатитская ТЭЦ ;D461
D461330010;ТЭЦАпати-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок  Апатитская ТЭЦ ;D461
D461331200;ТЭЦАпати-АРС;Аварийно-ремонтная служба Апатитская ТЭЦ;D461
D461540000;ТЭЦАпати-ОПР;Общепроизводственные  Апатитская ТЭЦ (Участок СДТУ);D461
D461650100;ТЭЦАпати-УпрТЭЦ;Руководство Апатитской ТЭЦ;D461
D461870100;АТЭЦ-ОКС;Группа КС АТЭЦ;D461
